Complexity,Loss,Equation
1,0.003281545,"x0"
3,0.0005492988,"x0 * 0.90599567"
5,0.00054553454,"(x0 + -0.0021462496) * 0.9058099"
9,2.5774528e-7,"x0 - ((x0 * 0.1603593) * (x0 * x0))"
11,8.7182634e-8,"x0 + (((-0.01132105 - (x0 * x0)) * 0.15782957) * x0)"
13,8.718234e-8,"x0 + (((-0.0017865197 / x0) + (x0 * -0.15782982)) * (x0 * x0))"
15,8.668978e-8,"x0 + ((x0 * -0.001787601) + (((x0 * (0.00023372556 - x0)) * x0) * 0.15782702))"
21,8.058614e-12,"x0 + ((-2.4821264e-5 - (x0 * (x0 * 0.16651171))) * (x0 + (((x0 * x0) * 0.21870425) * (x0 * -0.2200351))))"
